project,version,insert_noop,loop_exchange,permute_stmt,rename_variable,switch_exchange,lines changed
abm,550,TRUE,FALSE,FALSE,TRUE,FALSE,7
abm,557,TRUE,FALSE,FALSE,TRUE,FALSE,7
abm,575,TRUE,TRUE,TRUE,TRUE,FALSE,20
abm,577,TRUE,TRUE,TRUE,TRUE,FALSE,18
abm,592,TRUE,FALSE,TRUE,TRUE,FALSE,9
abm,594,TRUE,FALSE,TRUE,TRUE,FALSE,5
abm,598,TRUE,FALSE,TRUE,TRUE,FALSE,9
abm,603,TRUE,FALSE,FALSE,TRUE,FALSE,7
abm,605,TRUE,FALSE,FALSE,TRUE,FALSE,7
abm,607,TRUE,FALSE,FALSE,TRUE,FALSE,7
abm,609,TRUE,TRUE,TRUE,TRUE,FALSE,10
abm,616,TRUE,FALSE,FALSE,TRUE,FALSE,7
abm,618,TRUE,FALSE,FALSE,FALSE,FALSE,1
abm,620,TRUE,FALSE,FALSE,TRUE,FALSE,7
abm,622,TRUE,FALSE,TRUE,TRUE,FALSE,17
abm,624,TRUE,FALSE,FALSE,TRUE,FALSE,7
abm,626,TRUE,FALSE,FALSE,TRUE,FALSE,9
abm,630,TRUE,FALSE,FALSE,TRUE,FALSE,7
abm,632,TRUE,FALSE,TRUE,TRUE,FALSE,17
abm,634,TRUE,FALSE,FALSE,TRUE,FALSE,9
abm,637,TRUE,FALSE,FALSE,TRUE,FALSE,7
abm,639,TRUE,FALSE,FALSE,TRUE,FALSE,7
abm,641,TRUE,FALSE,FALSE,TRUE,FALSE,9
abm,645,TRUE,FALSE,FALSE,TRUE,FALSE,7
abm,647,TRUE,FALSE,FALSE,TRUE,FALSE,7
ctestsuite,045,TRUE,FALSE,FALSE,TRUE,FALSE,7
ctestsuite,047,TRUE,TRUE,FALSE,TRUE,FALSE,12
ctestsuite,049,TRUE,FALSE,FALSE,TRUE,FALSE,7
ctestsuite,051,TRUE,FALSE,FALSE,TRUE,FALSE,7
ctestsuite,053,TRUE,FALSE,FALSE,TRUE,FALSE,7
ctestsuite,055,TRUE,FALSE,TRUE,TRUE,FALSE,11
ctestsuite,057,TRUE,FALSE,TRUE,TRUE,FALSE,9
ctestsuite,059,TRUE,FALSE,FALSE,TRUE,FALSE,7
ctestsuite,061,TRUE,TRUE,TRUE,TRUE,FALSE,16
ctestsuite,063,TRUE,FALSE,FALSE,TRUE,FALSE,11
